id,u,v
1345,3699.36,1465.92
1346,1369.44,1637.28
1347,636.48,1183.68
1348,3792.96,1558.08
1349,1530.72,1159.2
1350,3795.84,645.12
1351,1228.32,1671.84
1352,722.88,959.04
1353,2723.04,2018.88
1354,3892.32,617.76
1355,1278.72,1717.92
1356,3971.52,617.76
1357,1275.84,1716.48
1358,3781.44,1504.8
1359,3742.56,1520.64
1360,1967.04,830.88
1361,3843.36,635.04
1362,3191.04,974.88
1363,1951.2,1892.16
1364,3310.56,646.56
1365,583.2,1188
1366,3990.24,668.16
1367,593.28,1188
1368,3983.04,635.04
1369,1362.24,1651.68
1370,3241.44,136.8
1371,3944.16,639.36
1372,3991.68,635.04
1373,2714.4,1887.84
1374,2465.28,2260.8
1375,2609.28,1592.64
1376,2455.2,2265.12
1377,3418.56,744.48
1378,1058.4,1676.16
1379,1097.28,1676.16
1380,3788.64,639.36
1381,2926.08,901.44
1382,4171.68,976.32
1383,1326.24,1650.24
1384,1179.36,1676.16
1385,1270.08,1676.16
1386,3955.68,623.52
1387,4194.72,976.32
1388,1378.08,1628.64
1389,590.4,1139.04
1390,3875.04,2109.6
1391,3784.32,679.68
1392,948.96,927.36
1393,3905.28,637.92
1394,4007.52,619.2
1395,493.92,1196.64
1396,3852,679.68
1397,502.56,1196.64
1398,205.92,986.4
1399,1140.48,1605.6
1400,450.72,1199.52
1401,3725.28,1408.32
1402,1383.84,1635.84
1403,1965.6,2044.8
1404,3725.28,1509.12
1405,3924,676.8
1406,1226.88,1647.36
1407,1347.84,1715.04
1408,1821.6,2324.16
1409,3716.64,1455.84
1410,3221.28,984.96
1411,1912.32,2301.12
1412,947.52,933.12
1413,2970.72,1068.48
1414,1203.84,1687.68
1415,3944.16,620.64
1416,3828.96,1622.88
1417,3801.6,681.12
1418,3837.6,681.12
1419,3991.68,620.64
1420,4024.8,620.64
1421,3732.48,1402.56
1422,1657.44,1162.08
1423,580.32,1137.6
1424,3843.36,681.12
1425,920.16,1692
1426,973.44,1712.16
1427,771.84,774.72
1428,1982.88,2034.72
1429,1308.96,1694.88
1430,3771.36,692.64
1431,3733.92,1283.04
1432,767.52,748.8
1433,3661.92,1519.2
1434,1638.72,1082.88
1435,3666.24,1432.8
1436,731.52,372.96
1437,1450.08,1247.04
1438,3788.64,1548
1439,4219.2,980.64
1440,2208.96,1709.28
1441,3258.72,691.2
1442,954.72,1709.28
1443,3744,1434.24
1444,4209.12,688.32
1445,754.56,1149.12
1446,3817.44,684
1447,3774.24,688.32
1448,936,1700.64
1449,3801.6,686.88
1450,751.68,1163.52
1451,1205.28,1704.96
1452,763.2,747.36
1453,3889.44,622.08
1454,3886.56,642.24
1455,3840.48,629.28
1456,3918.24,642.24
1457,3791.52,660.96
